VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas0            Pavarde0                5.00
Vardas2            Pavarde2                5.00
Vardas4            Pavarde4                5.00
Vardas6            Pavarde6                5.00
Vardas8            Pavarde8                5.00
Vardas10           Pavarde10                5.00
Vardas12           Pavarde12                5.00
Vardas14           Pavarde14                5.00
Vardas16           Pavarde16                5.00
Vardas18           Pavarde18                5.00
Vardas20           Pavarde20                5.00
Vardas22           Pavarde22                5.00
Vardas24           Pavarde24                5.00
Vardas26           Pavarde26                5.00
Vardas28           Pavarde28                5.00
Vardas30           Pavarde30                5.00
Vardas32           Pavarde32                5.00
Vardas34           Pavarde34                5.00
Vardas36           Pavarde36                5.00
Vardas38           Pavarde38                5.00
Vardas40           Pavarde40                5.00
Vardas42           Pavarde42                5.00
Vardas44           Pavarde44                5.00
Vardas46           Pavarde46                5.00
Vardas48           Pavarde48                5.00
Vardas50           Pavarde50                5.00
Vardas52           Pavarde52                5.00
Vardas54           Pavarde54                5.00
Vardas56           Pavarde56                5.00
Vardas58           Pavarde58                5.00
Vardas60           Pavarde60                5.00
Vardas62           Pavarde62                5.00
Vardas64           Pavarde64                5.00
Vardas66           Pavarde66                5.00
Vardas68           Pavarde68                5.00
Vardas70           Pavarde70                5.00
Vardas72           Pavarde72                5.00
Vardas74           Pavarde74                5.00
Vardas76           Pavarde76                5.00
Vardas78           Pavarde78                5.00
Vardas80           Pavarde80                5.00
Vardas82           Pavarde82                5.00
Vardas84           Pavarde84                5.00
Vardas86           Pavarde86                5.00
Vardas88           Pavarde88                5.00
Vardas90           Pavarde90                5.00
Vardas92           Pavarde92                5.00
Vardas94           Pavarde94                5.00
Vardas96           Pavarde96                5.00
Vardas98           Pavarde98                5.00
Vardas100          Pavarde100                5.00
Vardas102          Pavarde102                5.00
Vardas104          Pavarde104                5.00
Vardas106          Pavarde106                5.00
Vardas108          Pavarde108                5.00
Vardas110          Pavarde110                5.00
Vardas112          Pavarde112                5.00
Vardas114          Pavarde114                5.00
Vardas116          Pavarde116                5.00
Vardas118          Pavarde118                5.00
Vardas120          Pavarde120                5.00
Vardas122          Pavarde122                5.00
Vardas124          Pavarde124                5.00
Vardas126          Pavarde126                5.00
Vardas128          Pavarde128                5.00
Vardas130          Pavarde130                5.00
Vardas132          Pavarde132                5.00
Vardas134          Pavarde134                5.00
Vardas136          Pavarde136                5.00
Vardas138          Pavarde138                5.00
Vardas140          Pavarde140                5.00
Vardas142          Pavarde142                5.00
Vardas144          Pavarde144                5.00
Vardas146          Pavarde146                5.00
Vardas148          Pavarde148                5.00
Vardas150          Pavarde150                5.00
Vardas152          Pavarde152                5.00
Vardas154          Pavarde154                5.00
Vardas156          Pavarde156                5.00
Vardas158          Pavarde158                5.00
Vardas160          Pavarde160                5.00
Vardas162          Pavarde162                5.00
Vardas164          Pavarde164                5.00
Vardas166          Pavarde166                5.00
Vardas168          Pavarde168                5.00
Vardas170          Pavarde170                5.00
Vardas172          Pavarde172                5.00
Vardas174          Pavarde174                5.00
Vardas176          Pavarde176                5.00
Vardas178          Pavarde178                5.00
Vardas180          Pavarde180                5.00
Vardas182          Pavarde182                5.00
Vardas184          Pavarde184                5.00
Vardas186          Pavarde186                5.00
Vardas188          Pavarde188                5.00
Vardas190          Pavarde190                5.00
Vardas192          Pavarde192                5.00
Vardas194          Pavarde194                5.00
Vardas196          Pavarde196                5.00
Vardas198          Pavarde198                5.00
Vardas200          Pavarde200                5.00
Vardas202          Pavarde202                5.00
Vardas204          Pavarde204                5.00
Vardas206          Pavarde206                5.00
Vardas208          Pavarde208                5.00
Vardas210          Pavarde210                5.00
Vardas212          Pavarde212                5.00
Vardas214          Pavarde214                5.00
Vardas216          Pavarde216                5.00
Vardas218          Pavarde218                5.00
