VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas0            Pavarde0                2.00
Vardas1            Pavarde1                2.00
Vardas2            Pavarde2                2.00
Vardas3            Pavarde3                2.00
Vardas4            Pavarde4                2.00
Vardas5            Pavarde5                2.00
Vardas6            Pavarde6                2.00
Vardas7            Pavarde7                2.00
Vardas8            Pavarde8                2.00
Vardas9            Pavarde9                2.00
Vardas10           Pavarde10                2.00
Vardas11           Pavarde11                2.00
Vardas12           Pavarde12                2.00
Vardas13           Pavarde13                2.00
Vardas14           Pavarde14                2.00
Vardas15           Pavarde15                2.00
Vardas16           Pavarde16                2.00
Vardas17           Pavarde17                2.00
Vardas18           Pavarde18                2.00
Vardas19           Pavarde19                2.00
Vardas20           Pavarde20                2.00
Vardas21           Pavarde21                2.00
Vardas22           Pavarde22                2.00
Vardas23           Pavarde23                2.00
Vardas24           Pavarde24                2.00
Vardas25           Pavarde25                2.00
Vardas26           Pavarde26                2.00
Vardas27           Pavarde27                2.00
Vardas28           Pavarde28                2.00
Vardas29           Pavarde29                2.00
Vardas30           Pavarde30                2.00
Vardas31           Pavarde31                2.00
Vardas32           Pavarde32                2.00
Vardas33           Pavarde33                2.00
Vardas34           Pavarde34                2.00
Vardas35           Pavarde35                2.00
Vardas36           Pavarde36                2.00
Vardas37           Pavarde37                2.00
Vardas38           Pavarde38                2.00
Vardas39           Pavarde39                2.00
Vardas40           Pavarde40                2.00
Vardas41           Pavarde41                2.00
Vardas42           Pavarde42                2.00
Vardas43           Pavarde43                2.00
Vardas44           Pavarde44                2.00
Vardas45           Pavarde45                2.00
Vardas46           Pavarde46                2.00
Vardas47           Pavarde47                2.00
Vardas48           Pavarde48                2.00
Vardas49           Pavarde49                2.00
Vardas50           Pavarde50                2.00
Vardas51           Pavarde51                2.00
Vardas52           Pavarde52                2.00
Vardas53           Pavarde53                2.00
Vardas54           Pavarde54                2.00
Vardas55           Pavarde55                2.00
Vardas56           Pavarde56                2.00
Vardas57           Pavarde57                2.00
Vardas58           Pavarde58                2.00
Vardas59           Pavarde59                2.00
Vardas60           Pavarde60                2.00
Vardas61           Pavarde61                2.00
Vardas62           Pavarde62                2.00
Vardas63           Pavarde63                2.00
Vardas64           Pavarde64                2.00
Vardas65           Pavarde65                2.00
Vardas66           Pavarde66                2.00
Vardas67           Pavarde67                2.00
Vardas68           Pavarde68                2.00
Vardas69           Pavarde69                2.00
Vardas70           Pavarde70                2.00
Vardas71           Pavarde71                2.00
Vardas72           Pavarde72                2.00
Vardas73           Pavarde73                2.00
Vardas74           Pavarde74                2.00
Vardas75           Pavarde75                2.00
Vardas76           Pavarde76                2.00
Vardas77           Pavarde77                2.00
Vardas78           Pavarde78                2.00
Vardas79           Pavarde79                2.00
Vardas80           Pavarde80                2.00
Vardas81           Pavarde81                2.00
Vardas82           Pavarde82                2.00
Vardas83           Pavarde83                2.00
Vardas84           Pavarde84                2.00
Vardas85           Pavarde85                2.00
Vardas86           Pavarde86                2.00
Vardas87           Pavarde87                2.00
Vardas88           Pavarde88                2.00
Vardas89           Pavarde89                2.00
Vardas90           Pavarde90                2.00
Vardas91           Pavarde91                2.00
Vardas92           Pavarde92                2.00
Vardas93           Pavarde93                2.00
Vardas94           Pavarde94                2.00
Vardas95           Pavarde95                2.00
Vardas96           Pavarde96                2.00
Vardas97           Pavarde97                2.00
Vardas98           Pavarde98                2.00
Vardas99           Pavarde99                2.00
Vardas100          Pavarde100                2.00
Vardas101          Pavarde101                2.00
Vardas102          Pavarde102                2.00
Vardas103          Pavarde103                2.00
Vardas104          Pavarde104                2.00
Vardas105          Pavarde105                2.00
Vardas106          Pavarde106                2.00
