VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas7150         Pavarde7150                5.00
Vardas7151         Pavarde7151                5.00
Vardas7152         Pavarde7152                5.00
Vardas7153         Pavarde7153                5.00
Vardas7154         Pavarde7154                5.00
Vardas7155         Pavarde7155                5.00
Vardas7156         Pavarde7156                5.00
Vardas7157         Pavarde7157                5.00
Vardas7158         Pavarde7158                5.00
Vardas7159         Pavarde7159                5.00
Vardas7160         Pavarde7160                5.00
Vardas7161         Pavarde7161                5.00
Vardas7162         Pavarde7162                5.00
Vardas7163         Pavarde7163                5.00
Vardas7164         Pavarde7164                5.00
Vardas7165         Pavarde7165                5.00
Vardas7166         Pavarde7166                5.00
Vardas7167         Pavarde7167                5.00
Vardas7168         Pavarde7168                5.00
Vardas7169         Pavarde7169                5.00
Vardas7170         Pavarde7170                5.00
Vardas7171         Pavarde7171                5.00
Vardas7172         Pavarde7172                5.00
Vardas7173         Pavarde7173                5.00
Vardas7174         Pavarde7174                5.00
Vardas7175         Pavarde7175                5.00
Vardas7176         Pavarde7176                5.00
Vardas7177         Pavarde7177                5.00
Vardas7178         Pavarde7178                5.00
Vardas7179         Pavarde7179                5.00
Vardas7180         Pavarde7180                5.00
Vardas7181         Pavarde7181                5.00
Vardas7182         Pavarde7182                5.00
Vardas7183         Pavarde7183                5.00
Vardas7184         Pavarde7184                5.00
Vardas7185         Pavarde7185                5.00
Vardas7186         Pavarde7186                5.00
Vardas7187         Pavarde7187                5.00
Vardas7188         Pavarde7188                5.00
Vardas7189         Pavarde7189                5.00
Vardas7190         Pavarde7190                5.00
Vardas7191         Pavarde7191                5.00
Vardas7192         Pavarde7192                5.00
Vardas7193         Pavarde7193                5.00
Vardas7194         Pavarde7194                5.00
Vardas7195         Pavarde7195                5.00
Vardas7196         Pavarde7196                5.00
Vardas7197         Pavarde7197                5.00
Vardas7198         Pavarde7198                5.00
Vardas7199         Pavarde7199                5.00
Vardas7200         Pavarde7200                5.00
Vardas7201         Pavarde7201                5.00
Vardas7202         Pavarde7202                5.00
Vardas7203         Pavarde7203                5.00
Vardas7204         Pavarde7204                5.00
Vardas7205         Pavarde7205                5.00
Vardas7206         Pavarde7206                5.00
Vardas7207         Pavarde7207                5.00
Vardas7208         Pavarde7208                5.00
Vardas7209         Pavarde7209                5.00
Vardas7210         Pavarde7210                5.00
Vardas7211         Pavarde7211                5.00
Vardas7212         Pavarde7212                5.00
Vardas7213         Pavarde7213                5.00
Vardas7214         Pavarde7214                5.00
Vardas7215         Pavarde7215                5.00
Vardas7216         Pavarde7216                5.00
Vardas7217         Pavarde7217                5.00
Vardas7218         Pavarde7218                5.00
Vardas7219         Pavarde7219                5.00
Vardas7220         Pavarde7220                5.00
Vardas7221         Pavarde7221                5.00
Vardas7222         Pavarde7222                5.00
Vardas7223         Pavarde7223                5.00
Vardas7224         Pavarde7224                5.00
Vardas7225         Pavarde7225                5.00
Vardas7226         Pavarde7226                5.00
Vardas7227         Pavarde7227                5.00
Vardas7228         Pavarde7228                5.00
Vardas7229         Pavarde7229                5.00
Vardas7230         Pavarde7230                5.00
Vardas7231         Pavarde7231                5.00
Vardas7232         Pavarde7232                5.00
Vardas7233         Pavarde7233                5.00
Vardas7234         Pavarde7234                5.00
Vardas7235         Pavarde7235                5.00
Vardas7236         Pavarde7236                5.00
Vardas7237         Pavarde7237                5.00
Vardas7238         Pavarde7238                5.00
Vardas7239         Pavarde7239                5.00
Vardas7240         Pavarde7240                5.00
Vardas7241         Pavarde7241                5.00
Vardas7242         Pavarde7242                5.00
Vardas7243         Pavarde7243                5.00
Vardas7244         Pavarde7244                5.00
Vardas7245         Pavarde7245                5.00
Vardas7246         Pavarde7246                5.00
Vardas7247         Pavarde7247                5.00
Vardas7248         Pavarde7248                5.00
Vardas7249         Pavarde7249                5.00
Vardas7250         Pavarde7250                5.00
Vardas7251         Pavarde7251                5.00
Vardas7252         Pavarde7252                5.00
Vardas7253         Pavarde7253                5.00
Vardas7254         Pavarde7254                5.00
Vardas7255         Pavarde7255                5.00
Vardas7256         Pavarde7256                5.00
Vardas7257         Pavarde7257                5.00
Vardas7258         Pavarde7258                5.00
Vardas7259         Pavarde7259                5.00
Vardas7260         Pavarde7260                5.00
Vardas7261         Pavarde7261                5.00
Vardas7262         Pavarde7262                5.00
Vardas7263         Pavarde7263                5.00
Vardas7264         Pavarde7264                5.00
Vardas7265         Pavarde7265                5.00
Vardas7266         Pavarde7266                5.00
Vardas7267         Pavarde7267                5.00
Vardas7268         Pavarde7268                5.00
Vardas7269         Pavarde7269                5.00
Vardas7270         Pavarde7270                5.00
Vardas7271         Pavarde7271                5.00
Vardas7272         Pavarde7272                5.00
Vardas7273         Pavarde7273                5.00
Vardas7274         Pavarde7274                5.00
Vardas7275         Pavarde7275                5.00
Vardas7276         Pavarde7276                5.00
Vardas7277         Pavarde7277                5.00
Vardas7278         Pavarde7278                5.00
Vardas7279         Pavarde7279                5.00
Vardas7280         Pavarde7280                5.00
Vardas7281         Pavarde7281                5.00
Vardas7282         Pavarde7282                5.00
Vardas7283         Pavarde7283                5.00
