VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas26767        Pavarde26767                2.16
Vardas26768        Pavarde26768                2.00
Vardas26769        Pavarde26769                2.00
Vardas26770        Pavarde26770                2.00
Vardas26771        Pavarde26771                2.00
Vardas26772        Pavarde26772                2.00
Vardas26773        Pavarde26773                2.00
Vardas26774        Pavarde26774                2.00
Vardas26775        Pavarde26775                2.00
Vardas26776        Pavarde26776                2.00
Vardas26777        Pavarde26777                2.00
Vardas26778        Pavarde26778                2.00
Vardas26779        Pavarde26779                2.00
Vardas26780        Pavarde26780                2.00
Vardas26781        Pavarde26781                2.00
Vardas26782        Pavarde26782                2.00
Vardas26783        Pavarde26783                2.00
Vardas26784        Pavarde26784                2.00
Vardas26785        Pavarde26785                2.00
Vardas26786        Pavarde26786                2.00
Vardas26787        Pavarde26787                2.00
Vardas26788        Pavarde26788                2.00
Vardas26789        Pavarde26789                2.00
Vardas26790        Pavarde26790                2.00
Vardas26791        Pavarde26791                2.00
Vardas26792        Pavarde26792                2.00
Vardas26793        Pavarde26793                2.00
Vardas26794        Pavarde26794                2.00
Vardas26795        Pavarde26795                2.00
Vardas26796        Pavarde26796                2.00
Vardas26797        Pavarde26797                2.00
Vardas26798        Pavarde26798                2.00
Vardas26799        Pavarde26799                2.00
Vardas26800        Pavarde26800                2.00
Vardas26801        Pavarde26801                2.00
Vardas26802        Pavarde26802                2.00
Vardas26803        Pavarde26803                2.00
Vardas26804        Pavarde26804                2.00
Vardas26805        Pavarde26805                2.00
Vardas26806        Pavarde26806                2.00
Vardas26807        Pavarde26807                2.00
Vardas26808        Pavarde26808                2.00
Vardas26809        Pavarde26809                2.00
Vardas26810        Pavarde26810                2.00
Vardas26811        Pavarde26811                2.00
Vardas26812        Pavarde26812                2.00
Vardas26813        Pavarde26813                2.00
Vardas26814        Pavarde26814                2.00
Vardas26815        Pavarde26815                2.00
Vardas26816        Pavarde26816                2.00
Vardas26817        Pavarde26817                2.00
Vardas26818        Pavarde26818                2.00
Vardas26819        Pavarde26819                2.00
Vardas26820        Pavarde26820                2.00
Vardas26821        Pavarde26821                2.00
Vardas26822        Pavarde26822                2.00
Vardas26823        Pavarde26823                2.00
Vardas26824        Pavarde26824                2.00
Vardas26825        Pavarde26825                2.00
Vardas26826        Pavarde26826                2.00
Vardas26827        Pavarde26827                2.00
Vardas26828        Pavarde26828                2.00
Vardas26829        Pavarde26829                2.00
Vardas26830        Pavarde26830                2.00
Vardas26831        Pavarde26831                2.00
Vardas26832        Pavarde26832                2.00
Vardas26833        Pavarde26833                2.00
Vardas26834        Pavarde26834                2.00
Vardas26835        Pavarde26835                2.00
Vardas26836        Pavarde26836                2.00
Vardas26837        Pavarde26837                2.00
Vardas26838        Pavarde26838                2.00
Vardas26839        Pavarde26839                2.00
Vardas26840        Pavarde26840                2.00
Vardas26841        Pavarde26841                2.00
Vardas26842        Pavarde26842                2.00
Vardas26843        Pavarde26843                2.00
Vardas26844        Pavarde26844                2.00
Vardas26845        Pavarde26845                2.00
Vardas26846        Pavarde26846                2.00
Vardas26847        Pavarde26847                2.00
Vardas26848        Pavarde26848                2.00
Vardas26849        Pavarde26849                2.00
Vardas26850        Pavarde26850                2.00
Vardas26851        Pavarde26851                2.00
Vardas26852        Pavarde26852                2.00
Vardas26853        Pavarde26853                2.00
Vardas26854        Pavarde26854                2.00
