VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas0            Pavarde0                5.00
Vardas1            Pavarde1                5.00
Vardas10           Pavarde10                5.00
Vardas100          Pavarde100                5.00
Vardas1000         Pavarde1000                5.00
Vardas10000        Pavarde10000                5.00
Vardas10001        Pavarde10001                5.00
Vardas10002        Pavarde10002                5.00
Vardas10003        Pavarde10003                5.00
Vardas10004        Pavarde10004                5.00
Vardas10005        Pavarde10005                5.00
Vardas10006        Pavarde10006                5.00
Vardas10007        Pavarde10007                5.00
Vardas10008        Pavarde10008                5.00
Vardas10009        Pavarde10009                5.00
Vardas1001         Pavarde1001                5.00
Vardas10010        Pavarde10010                5.00
Vardas10011        Pavarde10011                5.00
Vardas10012        Pavarde10012                5.00
Vardas10013        Pavarde10013                5.00
Vardas10014        Pavarde10014                5.00
Vardas10015        Pavarde10015                5.00
Vardas10016        Pavarde10016                5.00
Vardas10017        Pavarde10017                5.00
Vardas10018        Pavarde10018                5.00
Vardas10019        Pavarde10019                5.00
Vardas1002         Pavarde1002                5.00
Vardas10020        Pavarde10020                5.00
Vardas10021        Pavarde10021                5.00
Vardas10022        Pavarde10022                5.00
Vardas10023        Pavarde10023                5.00
Vardas10024        Pavarde10024                5.00
Vardas10025        Pavarde10025                5.00
Vardas10026        Pavarde10026                5.00
Vardas10027        Pavarde10027                5.00
Vardas10028        Pavarde10028                5.00
Vardas10029        Pavarde10029                5.00
Vardas1003         Pavarde1003                5.00
Vardas10030        Pavarde10030                5.00
Vardas10031        Pavarde10031                5.00
Vardas10032        Pavarde10032                5.00
Vardas10033        Pavarde10033                5.00
Vardas10034        Pavarde10034                5.00
Vardas10035        Pavarde10035                5.00
Vardas10036        Pavarde10036                5.00
Vardas10037        Pavarde10037                5.00
Vardas10038        Pavarde10038                5.00
Vardas10039        Pavarde10039                5.00
Vardas1004         Pavarde1004                5.00
Vardas10040        Pavarde10040                5.00
Vardas10041        Pavarde10041                5.00
Vardas10042        Pavarde10042                5.00
Vardas10043        Pavarde10043                5.00
Vardas10044        Pavarde10044                5.00
Vardas10045        Pavarde10045                5.00
Vardas10046        Pavarde10046                5.00
Vardas10047        Pavarde10047                5.00
Vardas10048        Pavarde10048                5.00
Vardas10049        Pavarde10049                5.00
Vardas1005         Pavarde1005                5.00
Vardas10050        Pavarde10050                5.00
Vardas10051        Pavarde10051                5.00
Vardas10052        Pavarde10052                5.00
Vardas10053        Pavarde10053                5.00
Vardas10054        Pavarde10054                5.00
Vardas10055        Pavarde10055                5.00
Vardas10056        Pavarde10056                5.00
Vardas10057        Pavarde10057                5.00
Vardas10058        Pavarde10058                5.00
Vardas10059        Pavarde10059                5.00
Vardas1006         Pavarde1006                5.00
Vardas10060        Pavarde10060                5.00
Vardas10061        Pavarde10061                5.00
Vardas10062        Pavarde10062                5.00
Vardas10063        Pavarde10063                5.00
Vardas10064        Pavarde10064                5.00
Vardas10065        Pavarde10065                5.00
Vardas10066        Pavarde10066                5.00
Vardas10067        Pavarde10067                5.00
Vardas10068        Pavarde10068                5.00
Vardas10069        Pavarde10069                5.00
Vardas1007         Pavarde1007                5.00
Vardas10070        Pavarde10070                5.00
Vardas10071        Pavarde10071                5.00
Vardas10072        Pavarde10072                5.00
Vardas10073        Pavarde10073                5.00
Vardas10074        Pavarde10074                5.00
Vardas10075        Pavarde10075                5.00
Vardas10076        Pavarde10076                5.00
Vardas10077        Pavarde10077                5.00
Vardas10078        Pavarde10078                5.00
Vardas10079        Pavarde10079                5.00
Vardas1008         Pavarde1008                5.00
Vardas10080        Pavarde10080                5.00
Vardas10081        Pavarde10081                5.00
Vardas10082        Pavarde10082                5.00
Vardas10083        Pavarde10083                5.00
Vardas10084        Pavarde10084                5.00
Vardas10085        Pavarde10085                5.00
